start_time,volume lane1,volume lane2,volume ramp1,speed lane1,speed lane2
2022-06-30 00:00:00-07:00,454,226,132,57.34,51.77
2022-06-30 01:00:00-07:00,399,177,90,57.15,48.76
2022-06-30 02:00:00-07:00,295,115,54,56.96,51.87
2022-06-30 03:00:00-07:00,279,111,51,55.54,50.44
2022-06-30 04:00:00-07:00,467,188,81,54.93,49.11
2022-06-30 05:00:00-07:00,858,351,127,55.75,51.59
2022-06-30 06:00:00-07:00,1291,799,363,50.49,49.79
2022-06-30 07:00:00-07:00,1464,1191,704,43.06,42.29
2022-06-30 08:00:00-07:00,1487,1257,785,40.43,40.69
2022-06-30 09:00:00-07:00,1424,1210,724,41.93,41.3
2022-06-30 10:00:00-07:00,1363,1244,783,41.01,39.81
2022-06-30 11:00:00-07:00,1314,1273,880,40.43,39.04
2022-06-30 12:00:00-07:00,1309,1352,981,36.72,36
2022-06-30 13:00:00-07:00,1198,1266,954,32.56,30.21
2022-06-30 14:00:00-07:00,981,1138,1070,26.69,19.58
2022-06-30 15:00:00-07:00,866,948,917,23.46,12.96
2022-06-30 16:00:00-07:00,833,975,932,26.09,15.17
2022-06-30 17:00:00-07:00,1050,1048,1027,27.93,22.11
2022-06-30 18:00:00-07:00,1455,1272,851,44.09,41.11
2022-06-30 19:00:00-07:00,1317,1214,669,45.54,41.12
2022-06-30 20:00:00-07:00,1208,948,492,45.16,42.2
2022-06-30 21:00:00-07:00,963,850,452,43.8,36.67
2022-06-30 22:00:00-07:00,1268,685,324,51.95,49.3
2022-06-30 23:00:00-07:00,731,382,231,56.09,50.1
2022-07-01 00:00:00-07:00,546,265,165,55.87,51
2022-07-01 01:00:00-07:00,382,187,107,55.85,49.75
2022-07-01 02:00:00-07:00,362,138,60,56.72,51.89
2022-07-01 03:00:00-07:00,372,172,71,55.19,50.82
2022-07-01 04:00:00-07:00,490,197,72,56.65,51.02
2022-07-01 05:00:00-07:00,863,369,146,55.98,52.52
2022-07-01 06:00:00-07:00,1236,740,304,51.81,50.51
2022-07-01 07:00:00-07:00,1369,1114,587,45.6,44.5
2022-07-01 08:00:00-07:00,1362,1157,720,40.65,41.36
2022-07-01 09:00:00-07:00,1311,1270,813,40.01,39.88
2022-07-01 10:00:00-07:00,1387,1295,795,39.31,38.88
2022-07-01 11:00:00-07:00,1089,1235,876,33.84,32.64
2022-07-01 12:00:00-07:00,942,1009,959,21.29,18.87
2022-07-01 13:00:00-07:00,1059,1120,1034,25.27,23.1
2022-07-01 14:00:00-07:00,917,1030,803,25.5,16.18
2022-07-01 15:00:00-07:00,1024,974,960,25.5,22.08
2022-07-01 16:00:00-07:00,1374,1214,1080,34.54,33.37
2022-07-01 17:00:00-07:00,1480,1257,840,42.29,39.77
2022-07-01 18:00:00-07:00,1406,1291,743,40.81,39.77
2022-07-01 19:00:00-07:00,1473,1148,654,47.15,45.56
2022-07-01 20:00:00-07:00,1488,810,489,51.07,48.8
2022-07-01 21:00:00-07:00,1373,792,465,51.32,48.83
2022-07-01 22:00:00-07:00,1096,544,314,46.91,41.63
2022-07-01 23:00:00-07:00,830,358,235,56.92,50.65
2022-07-02 00:00:00-07:00,623,260,175,57.51,50.17
2022-07-02 01:00:00-07:00,453,213,141,58.42,50.56
2022-07-02 02:00:00-07:00,352,161,95,56.4,51.31
2022-07-02 03:00:00-07:00,294,133,64,57.69,50.62
2022-07-02 04:00:00-07:00,312,123,64,56.23,50.63
2022-07-02 05:00:00-07:00,426,148,79,58.83,51.01
2022-07-02 06:00:00-07:00,647,303,145,57.96,54.62
2022-07-02 07:00:00-07:00,860,484,278,55.01,51.24
2022-07-02 08:00:00-07:00,1190,652,310,53.54,49.24
2022-07-02 09:00:00-07:00,1373,935,494,49.47,48.04
2022-07-02 10:00:00-07:00,1641,1096,646,46.91,45.29
2022-07-02 11:00:00-07:00,1573,1213,673,44.5,44.26
2022-07-02 12:00:00-07:00,1491,1222,712,43.54,42.74
2022-07-02 13:00:00-07:00,1475,1205,683,44.28,43.12
2022-07-02 14:00:00-07:00,1496,1247,724,43.95,42.49
2022-07-02 15:00:00-07:00,1560,1118,623,45.01,44.25
2022-07-02 16:00:00-07:00,1534,1190,703,44.26,42.92
2022-07-02 17:00:00-07:00,1742,1110,582,48.34,45.96
2022-07-02 18:00:00-07:00,1622,1113,580,49.42,46.48
2022-07-02 19:00:00-07:00,1421,908,499,52.23,48.86
2022-07-02 20:00:00-07:00,1245,737,377,54.07,50.44
2022-07-02 21:00:00-07:00,1195,632,404,53.47,48.43
2022-07-02 22:00:00-07:00,1177,625,360,53.14,48.39
2022-07-02 23:00:00-07:00,898,421,263,56.02,50.18
2022-07-03 00:00:00-07:00,594,295,187,57.86,50.92
2022-07-03 01:00:00-07:00,404,185,128,59.89,50.58
2022-07-03 02:00:00-07:00,332,193,113,57.21,51.56
2022-07-03 03:00:00-07:00,240,116,77,56.57,48.29
2022-07-03 04:00:00-07:00,250,113,62,56.54,50.09
2022-07-03 05:00:00-07:00,317,135,60,57.19,51
2022-07-03 06:00:00-07:00,406,229,135,58.09,52.87
2022-07-03 07:00:00-07:00,611,357,210,58.72,51.86
2022-07-03 08:00:00-07:00,842,474,247,55.34,51.68
2022-07-03 09:00:00-07:00,1198,697,320,54.84,52.19
2022-07-03 10:00:00-07:00,1490,898,529,51.86,49.35
2022-07-03 11:00:00-07:00,1502,1055,600,48.47,47.53
2022-07-03 12:00:00-07:00,1613,1121,662,47.54,45.7
